no[#]	date_a	time_a	date_b	time_b	PA_a[deg]	PA_b[deg]	clong a[deg]	clong b[deg]	hlong a[deg]	hlong b[deg]	angle e-a[deg]	angle b-e[deg]	angle b-a[deg]	evento_a	evento_b	preevento_a_1h	preevento_b_1h	preevento_a_2h	preevento_b_2h	pre_a_3h_download_cor1	pre_b_3h_download_cor1	preevento_a_3h	preevento_b_3h	pre_a_2h_download_cor1	pre_b_2h_download_cor1
772	2011-06-14	08:08:15	2011-06-14	08:08:41	90	270	*	*	*	*	*	*	*	2011-06-14 08:08:15	2011-06-14 08:08:41	2011-06-14 07:08:15	2011-06-14 07:08:41	2011-06-14 06:08:15	2011-06-14 06:08:41	['/gehme/data/stereo/secchi/L0/a/seq/cor1/20110614/', '20110614_051000_s4c1A.fts', '20110614_051009_s4c1A.fts', '20110614_051018_s4c1A.fts']	['/gehme/data/stereo/secchi/L0/b/seq/cor1/20110614/', '20110614_051000_s4c1B.fts', '20110614_051009_s4c1B.fts', '20110614_051018_s4c1B.fts']	2011/06/14 05:08:15	2011/06/14 05:08:41	['/gehme/data/stereo/secchi/L0/a/seq/cor1/20110614/', '20110614_061000_s4c1A.fts', '20110614_061009_s4c1A.fts', '20110614_061018_s4c1A.fts']	['/gehme/data/stereo/secchi/L0/b/seq/cor1/20110614/', '20110614_061000_s4c1B.fts', '20110614_061009_s4c1B.fts', '20110614_061018_s4c1B.fts']
773	2011-06-15	16:08:15	2011-06-15	19:08:42	180	180	*	*	*	*	*	*	*	2011-06-15 16:08:15	2011-06-15 19:08:42	2011-06-15 15:08:15	2011-06-15 18:08:42	2011-06-15 14:08:15	2011-06-15 17:08:42	['/gehme/data/stereo/secchi/L0/a/seq/cor1/20110615/', '20110615_131000_s4c1A.fts', '20110615_131009_s4c1A.fts', '20110615_131018_s4c1A.fts']	['/gehme/data/stereo/secchi/L0/b/seq/cor1/20110615/', '20110615_161000_s4c1B.fts', '20110615_161009_s4c1B.fts', '20110615_161018_s4c1B.fts']	2011/06/15 13:08:15	2011/06/15 16:08:42	['/gehme/data/stereo/secchi/L0/a/seq/cor1/20110615/', '20110615_141000_s4c1A.fts', '20110615_141009_s4c1A.fts', '20110615_141018_s4c1A.fts']	['/gehme/data/stereo/secchi/L0/b/seq/cor1/20110615/', '20110615_171000_s4c1B.fts', '20110615_171009_s4c1B.fts', '20110615_171018_s4c1B.fts']
774	2011-06-18	16:08:15	2011-06-18	17:08:42	45	315	*	*	*	*	*	*	*	2011-06-18 16:08:15	2011-06-18 17:08:42	2011-06-18 15:08:15	2011-06-18 16:08:42	2011-06-18 14:08:15	2011-06-18 15:08:42	['/gehme/data/stereo/secchi/L0/a/seq/cor1/20110618/', '20110618_131000_s4c1A.fts', '20110618_131009_s4c1A.fts', '20110618_131018_s4c1A.fts']	['/gehme/data/stereo/secchi/L0/b/seq/cor1/20110618/', '20110618_141000_s4c1B.fts', '20110618_141009_s4c1B.fts', '20110618_141018_s4c1B.fts']	2011/06/18 13:08:15	2011/06/18 14:08:42	['/gehme/data/stereo/secchi/L0/a/seq/cor1/20110618/', '20110618_141000_s4c1A.fts', '20110618_141009_s4c1A.fts', '20110618_141018_s4c1A.fts']	['/gehme/data/stereo/secchi/L0/b/seq/cor1/20110618/', '20110618_151000_s4c1B.fts', '20110618_151009_s4c1B.fts', '20110618_151018_s4c1B.fts']
775	2011-06-19	18:08:15	2011-06-19	18:08:43	135	225	*	*	*	*	*	*	*	2011-06-19 18:08:15	2011-06-19 18:08:43	2011-06-19 17:08:15	2011-06-19 17:08:43	2011-06-19 16:08:15	2011-06-19 16:08:43	['/gehme/data/stereo/secchi/L0/a/seq/cor1/20110619/', '20110619_151000_s4c1A.fts', '20110619_151009_s4c1A.fts', '20110619_151018_s4c1A.fts']	['/gehme/data/stereo/secchi/L0/b/seq/cor1/20110619/', '20110619_151000_s4c1B.fts', '20110619_151009_s4c1B.fts', '20110619_151018_s4c1B.fts']	2011/06/19 15:08:15	2011/06/19 15:08:43	['/gehme/data/stereo/secchi/L0/a/seq/cor1/20110619/', '20110619_161000_s4c1A.fts', '20110619_161009_s4c1A.fts', '20110619_161018_s4c1A.fts']	['/gehme/data/stereo/secchi/L0/b/seq/cor1/20110619/', '20110619_161000_s4c1B.fts', '20110619_161009_s4c1B.fts', '20110619_161018_s4c1B.fts']
776	2011-06-20	19:08:15	2011-06-20	19:08:43	270	90	*	*	*	*	*	*	*	2011-06-20 19:08:15	2011-06-20 19:08:43	2011-06-20 18:08:15	2011-06-20 18:08:43	2011-06-20 17:08:15	2011-06-20 17:08:43	['/gehme/data/stereo/secchi/L0/a/seq/cor1/20110620/', '20110620_161000_s4c1A.fts', '20110620_161009_s4c1A.fts', '20110620_161018_s4c1A.fts']	['/gehme/data/stereo/secchi/L0/b/seq/cor1/20110620/', '20110620_161000_s4c1B.fts', '20110620_161009_s4c1B.fts', '20110620_161018_s4c1B.fts']	2011/06/20 16:08:15	2011/06/20 16:08:43	['/gehme/data/stereo/secchi/L0/a/seq/cor1/20110620/', '20110620_171000_s4c1A.fts', '20110620_171009_s4c1A.fts', '20110620_171018_s4c1A.fts']	['/gehme/data/stereo/secchi/L0/b/seq/cor1/20110620/', '20110620_171000_s4c1B.fts', '20110620_171009_s4c1B.fts', '20110620_171018_s4c1B.fts']
777	2011-06-21	03:08:15	2011-06-21	03:08:43	90	270	*	*	*	*	*	*	*	2011-06-21 03:08:15	2011-06-21 03:08:43	2011-06-21 02:08:15	2011-06-21 02:08:43	2011-06-21 01:08:15	2011-06-21 01:08:43	['/gehme/data/stereo/secchi/L0/a/seq/cor1/20110621/', '20110621_001000_s4c1A.fts', '20110621_001009_s4c1A.fts', '20110621_001018_s4c1A.fts']	['/gehme/data/stereo/secchi/L0/b/seq/cor1/20110621/', '20110621_001000_s4c1B.fts', '20110621_001009_s4c1B.fts', '20110621_001018_s4c1B.fts']	2011/06/21 00:08:15	2011/06/21 00:08:43	['/gehme/data/stereo/secchi/L0/a/seq/cor1/20110621/', '20110621_011000_s4c1A.fts', '20110621_011009_s4c1A.fts', '20110621_011018_s4c1A.fts']	['/gehme/data/stereo/secchi/L0/b/seq/cor1/20110621/', '20110621_011000_s4c1B.fts', '20110621_011009_s4c1B.fts', '20110621_011018_s4c1B.fts']
778	2011-06-23	13:08:15	2011-06-23	13:08:44	90	270	*	*	*	*	*	*	*	2011-06-23 13:08:15	2011-06-23 13:08:44	2011-06-23 12:08:15	2011-06-23 12:08:44	2011-06-23 11:08:15	2011-06-23 11:08:44	['/gehme/data/stereo/secchi/L0/a/seq/cor1/20110623/', '20110623_101000_s4c1A.fts', '20110623_101009_s4c1A.fts', '20110623_101018_s4c1A.fts']	['/gehme/data/stereo/secchi/L0/b/seq/cor1/20110623/', '20110623_101000_s4c1B.fts', '20110623_101009_s4c1B.fts', '20110623_101018_s4c1B.fts']	2011/06/23 10:08:15	2011/06/23 10:08:44	['/gehme/data/stereo/secchi/L0/a/seq/cor1/20110623/', '20110623_111000_s4c1A.fts', '20110623_111009_s4c1A.fts', '20110623_111018_s4c1A.fts']	['/gehme/data/stereo/secchi/L0/b/seq/cor1/20110623/', '20110623_111000_s4c1B.fts', '20110623_111009_s4c1B.fts', '20110623_111018_s4c1B.fts']
779	2011-06-26	23:08:15	2011-06-26	23:08:44	270	90	*	*	*	*	*	*	*	2011-06-26 23:08:15	2011-06-26 23:08:44	2011-06-26 22:08:15	2011-06-26 22:08:44	2011-06-26 21:08:15	2011-06-26 21:08:44	['/gehme/data/stereo/secchi/L0/a/seq/cor1/20110626/', '20110626_201000_s4c1A.fts', '20110626_201009_s4c1A.fts', '20110626_201018_s4c1A.fts']	['/gehme/data/stereo/secchi/L0/b/seq/cor1/20110626/', '20110626_201000_s4c1B.fts', '20110626_201009_s4c1B.fts', '20110626_201018_s4c1B.fts']	2011/06/26 20:08:15	2011/06/26 20:08:44	['/gehme/data/stereo/secchi/L0/a/seq/cor1/20110626/', '20110626_211000_s4c1A.fts', '20110626_211009_s4c1A.fts', '20110626_211018_s4c1A.fts']	No triada
780	2011-06-28	05:08:15	2011-06-28	05:08:45	135	225	*	*	*	*	*	*	*	2011-06-28 05:08:15	2011-06-28 05:08:45	2011-06-28 04:08:15	2011-06-28 04:08:45	2011-06-28 03:08:15	2011-06-28 03:08:45	['/gehme/data/stereo/secchi/L0/a/seq/cor1/20110628/', '20110628_021000_s4c1A.fts', '20110628_021012_s4c1A.fts', '20110628_021024_s4c1A.fts']	['/gehme/data/stereo/secchi/L0/b/seq/cor1/20110628/', '20110628_021000_s4c1B.fts', '20110628_021009_s4c1B.fts', '20110628_021018_s4c1B.fts']	2011/06/28 02:08:15	2011/06/28 02:08:45	['/gehme/data/stereo/secchi/L0/a/seq/cor1/20110628/', '20110628_031000_s4c1A.fts', '20110628_031012_s4c1A.fts', '20110628_031024_s4c1A.fts']	['/gehme/data/stereo/secchi/L0/b/seq/cor1/20110628/', '20110628_031000_s4c1B.fts', '20110628_031009_s4c1B.fts', '20110628_031018_s4c1B.fts']
781	2011-06-28	20:08:15	2011-06-28	20:08:45	315	45	*	*	*	*	*	*	*	2011-06-28 20:08:15	2011-06-28 20:08:45	2011-06-28 19:08:15	2011-06-28 19:08:45	2011-06-28 18:08:15	2011-06-28 18:08:45	['/gehme/data/stereo/secchi/L0/a/seq/cor1/20110628/', '20110628_171000_s4c1A.fts', '20110628_171012_s4c1A.fts', '20110628_171024_s4c1A.fts']	['/gehme/data/stereo/secchi/L0/b/seq/cor1/20110628/', '20110628_171000_s4c1B.fts', '20110628_171009_s4c1B.fts', '20110628_171018_s4c1B.fts']	2011/06/28 17:08:15	2011/06/28 17:08:45	['/gehme/data/stereo/secchi/L0/a/seq/cor1/20110628/', '20110628_181000_s4c1A.fts', '20110628_181012_s4c1A.fts', '20110628_181024_s4c1A.fts']	['/gehme/data/stereo/secchi/L0/b/seq/cor1/20110628/', '20110628_181000_s4c1B.fts', '20110628_181009_s4c1B.fts', '20110628_181018_s4c1B.fts']
782	2011-06-30	11:08:15	2011-06-30	*	315	*	*	*	*	*	*	*	*	2011-06-30 11:08:15		2011-06-30 10:08:15	NaT	2011-06-30 09:08:15	NaT	['/gehme/data/stereo/secchi/L0/a/seq/cor1/20110630/', '20110630_081000_s4c1A.fts', '20110630_081012_s4c1A.fts', '20110630_081024_s4c1A.fts']	*	2011/06/30 08:08:15		['/gehme/data/stereo/secchi/L0/a/seq/cor1/20110630/', '20110630_091000_s4c1A.fts', '20110630_091012_s4c1A.fts', '20110630_091024_s4c1A.fts']	*
783	2011-07-02	00:24:00	2011-07-02	00:24:31	45	315	*	*	*	*	*	*	*	2011-07-02 00:24:00	2011-07-02 00:24:31	2011-07-01 23:24:00	2011-07-01 23:24:31	2011-07-01 22:24:00	2011-07-01 22:24:31	['/gehme/data/stereo/secchi/L0/a/seq/cor1/20110701/', '20110701_212500_s4c1A.fts', '20110701_212509_s4c1A.fts', '20110701_212518_s4c1A.fts']	['/gehme/data/stereo/secchi/L0/b/seq/cor1/20110701/', '20110701_212500_s4c1B.fts', '20110701_212509_s4c1B.fts', '20110701_212518_s4c1B.fts']	2011/07/01 21:24:00	2011/07/01 21:24:31	['/gehme/data/stereo/secchi/L0/a/seq/cor1/20110701/', '20110701_222500_s4c1A.fts', '20110701_222509_s4c1A.fts', '20110701_222518_s4c1A.fts']	['/gehme/data/stereo/secchi/L0/b/seq/cor1/20110701/', '20110701_222500_s4c1B.fts', '20110701_222509_s4c1B.fts', '20110701_222518_s4c1B.fts']
784	2011-07-02	07:54:00	2011-07-02	07:54:31	270	90	*	*	*	*	*	*	*	2011-07-02 07:54:00	2011-07-02 07:54:31	2011-07-02 06:54:00	2011-07-02 06:54:31	2011-07-02 05:54:00	2011-07-02 05:54:31	['/gehme/data/stereo/secchi/L0/a/seq/cor1/20110702/', '20110702_045500_s4c1A.fts', '20110702_045512_s4c1A.fts', '20110702_045524_s4c1A.fts']	['/gehme/data/stereo/secchi/L0/b/seq/cor1/20110702/', '20110702_045500_s4c1B.fts', '20110702_045509_s4c1B.fts', '20110702_045518_s4c1B.fts']	2011/07/02 04:54:00	2011/07/02 04:54:31	['/gehme/data/stereo/secchi/L0/a/seq/cor1/20110702/', '20110702_055500_s4c1A.fts', '20110702_055512_s4c1A.fts', '20110702_055524_s4c1A.fts']	['/gehme/data/stereo/secchi/L0/b/seq/cor1/20110702/', '20110702_055500_s4c1B.fts', '20110702_055509_s4c1B.fts', '20110702_055518_s4c1B.fts']
785	2011-07-02	22:54:00	2011-07-02	23:54:31	270	90	*	*	*	*	*	*	*	2011-07-02 22:54:00	2011-07-02 23:54:31	2011-07-02 21:54:00	2011-07-02 22:54:31	2011-07-02 20:54:00	2011-07-02 21:54:31	['/gehme/data/stereo/secchi/L0/a/seq/cor1/20110702/', '20110702_195500_s4c1A.fts', '20110702_195512_s4c1A.fts', '20110702_195524_s4c1A.fts']	['/gehme/data/stereo/secchi/L0/b/seq/cor1/20110702/', '20110702_205500_s4c1B.fts', '20110702_205509_s4c1B.fts', '20110702_205518_s4c1B.fts']	2011/07/02 19:54:00	2011/07/02 20:54:31	['/gehme/data/stereo/secchi/L0/a/seq/cor1/20110702/', '20110702_205500_s4c1A.fts', '20110702_205512_s4c1A.fts', '20110702_205524_s4c1A.fts']	['/gehme/data/stereo/secchi/L0/b/seq/cor1/20110702/', '20110702_215500_s4c1B.fts', '20110702_215509_s4c1B.fts', '20110702_215518_s4c1B.fts']
786	2011-07-03	00:54:00	2011-07-03	01:54:31	90	270	*	*	*	*	*	*	*	2011-07-03 00:54:00	2011-07-03 01:54:31	2011-07-02 23:54:00	2011-07-03 00:54:31	2011-07-02 22:54:00	2011-07-02 23:54:31	['/gehme/data/stereo/secchi/L0/a/seq/cor1/20110702/', '20110702_215500_s4c1A.fts', '20110702_215512_s4c1A.fts', '20110702_215524_s4c1A.fts']	['/gehme/data/stereo/secchi/L0/b/seq/cor1/20110702/', '20110702_225500_s4c1B.fts', '20110702_225509_s4c1B.fts', '20110702_225518_s4c1B.fts']	2011/07/02 21:54:00	2011/07/02 22:54:31	['/gehme/data/stereo/secchi/L0/a/seq/cor1/20110702/', '20110702_225500_s4c1A.fts', '20110702_225512_s4c1A.fts', '20110702_225524_s4c1A.fts']	['/gehme/data/stereo/secchi/L0/b/seq/cor1/20110702/', '20110702_235500_s4c1B.fts', '20110702_235509_s4c1B.fts', '20110702_235518_s4c1B.fts']
787	2011-07-03	04:54:00	2011-07-03	04:54:31	270	90	*	*	*	*	*	*	*	2011-07-03 04:54:00	2011-07-03 04:54:31	2011-07-03 03:54:00	2011-07-03 03:54:31	2011-07-03 02:54:00	2011-07-03 02:54:31	['/gehme/data/stereo/secchi/L0/a/seq/cor1/20110703/', '20110703_015500_s4c1A.fts', '20110703_015509_s4c1A.fts', '20110703_015518_s4c1A.fts']	['/gehme/data/stereo/secchi/L0/b/seq/cor1/20110703/', '20110703_015500_s4c1B.fts', '20110703_015509_s4c1B.fts', '20110703_015518_s4c1B.fts']	2011/07/03 01:54:00	2011/07/03 01:54:31	['/gehme/data/stereo/secchi/L0/a/seq/cor1/20110703/', '20110703_025500_s4c1A.fts', '20110703_025509_s4c1A.fts', '20110703_025518_s4c1A.fts']	['/gehme/data/stereo/secchi/L0/b/seq/cor1/20110703/', '20110703_025500_s4c1B.fts', '20110703_025509_s4c1B.fts', '20110703_025518_s4c1B.fts']
788	2011-07-04	02:54:00	2011-07-04	02:54:31	0	0	*	*	*	*	*	*	*	2011-07-04 02:54:00	2011-07-04 02:54:31	2011-07-04 01:54:00	2011-07-04 01:54:31	2011-07-04 00:54:00	2011-07-04 00:54:31	['/gehme/data/stereo/secchi/L0/a/seq/cor1/20110703/', '20110703_235500_s4c1A.fts', '20110703_235509_s4c1A.fts', '20110703_235518_s4c1A.fts']	['/gehme/data/stereo/secchi/L0/b/seq/cor1/20110703/', '20110703_235500_s4c1B.fts', '20110703_235509_s4c1B.fts', '20110703_235518_s4c1B.fts']	2011/07/03 23:54:00	2011/07/03 23:54:31	['/gehme/data/stereo/secchi/L0/a/seq/cor1/20110704/', '20110704_005500_s4c1A.fts', '20110704_005509_s4c1A.fts', '20110704_005518_s4c1A.fts']	['/gehme/data/stereo/secchi/L0/b/seq/cor1/20110704/', '20110704_005500_s4c1B.fts', '20110704_005509_s4c1B.fts', '20110704_005518_s4c1B.fts']
789	2011-07-04	16:54:00	2011-07-04	19:54:32	225	135	*	*	*	*	*	*	*	2011-07-04 16:54:00	2011-07-04 19:54:32	2011-07-04 15:54:00	2011-07-04 18:54:32	2011-07-04 14:54:00	2011-07-04 17:54:32	['/gehme/data/stereo/secchi/L0/a/seq/cor1/20110704/', '20110704_135500_s4c1A.fts', '20110704_135509_s4c1A.fts', '20110704_135518_s4c1A.fts']	['/gehme/data/stereo/secchi/L0/b/seq/cor1/20110704/', '20110704_165500_s4c1B.fts', '20110704_165509_s4c1B.fts', '20110704_165518_s4c1B.fts']	2011/07/04 13:54:00	2011/07/04 16:54:32	['/gehme/data/stereo/secchi/L0/a/seq/cor1/20110704/', '20110704_145500_s4c1A.fts', '20110704_145509_s4c1A.fts', '20110704_145518_s4c1A.fts']	['/gehme/data/stereo/secchi/L0/b/seq/cor1/20110704/', '20110704_175500_s4c1B.fts', '20110704_175509_s4c1B.fts', '20110704_175518_s4c1B.fts']
790	2011-07-06	02:54:00	2011-07-06	05:54:32	45/135	315/225	*	*	*	*	*	*	*	2011-07-06 02:54:00	2011-07-06 05:54:32	2011-07-06 01:54:00	2011-07-06 04:54:32	2011-07-06 00:54:00	2011-07-06 03:54:32	['/gehme/data/stereo/secchi/L0/a/seq/cor1/20110705/', '20110705_235500_s4c1A.fts', '20110705_235509_s4c1A.fts', '20110705_235518_s4c1A.fts']	['/gehme/data/stereo/secchi/L0/b/seq/cor1/20110706/', '20110706_025500_s4c1B.fts', '20110706_025509_s4c1B.fts', '20110706_025518_s4c1B.fts']	2011/07/05 23:54:00	2011/07/06 02:54:32	['/gehme/data/stereo/secchi/L0/a/seq/cor1/20110706/', '20110706_005500_s4c1A.fts', '20110706_005509_s4c1A.fts', '20110706_005518_s4c1A.fts']	['/gehme/data/stereo/secchi/L0/b/seq/cor1/20110706/', '20110706_035500_s4c1B.fts', '20110706_035509_s4c1B.fts', '20110706_035518_s4c1B.fts']
791	2011-07-06	11:54:00	2011-07-06	12:54:32	45	315	*	*	*	*	*	*	*	2011-07-06 11:54:00	2011-07-06 12:54:32	2011-07-06 10:54:00	2011-07-06 11:54:32	2011-07-06 09:54:00	2011-07-06 10:54:32	['/gehme/data/stereo/secchi/L0/a/seq/cor1/20110706/', '20110706_085500_s4c1A.fts', '20110706_085509_s4c1A.fts', '20110706_085518_s4c1A.fts']	['/gehme/data/stereo/secchi/L0/b/seq/cor1/20110706/', '20110706_095500_s4c1B.fts', '20110706_095509_s4c1B.fts', '20110706_095518_s4c1B.fts']	2011/07/06 08:54:00	2011/07/06 09:54:32	['/gehme/data/stereo/secchi/L0/a/seq/cor1/20110706/', '20110706_095500_s4c1A.fts', '20110706_095509_s4c1A.fts', '20110706_095518_s4c1A.fts']	['/gehme/data/stereo/secchi/L0/b/seq/cor1/20110706/', '20110706_105500_s4c1B.fts', '20110706_105509_s4c1B.fts', '20110706_105518_s4c1B.fts']
792	2011-07-07	01:54:00	2011-07-07	01:54:32	270	90	*	*	*	*	*	*	*	2011-07-07 01:54:00	2011-07-07 01:54:32	2011-07-07 00:54:00	2011-07-07 00:54:32	2011-07-06 23:54:00	2011-07-06 23:54:32	['/gehme/data/stereo/secchi/L0/a/seq/cor1/20110706/', '20110706_225500_s4c1A.fts', '20110706_225509_s4c1A.fts', '20110706_225518_s4c1A.fts']	['/gehme/data/stereo/secchi/L0/b/seq/cor1/20110706/', '20110706_225500_s4c1B.fts', '20110706_225509_s4c1B.fts', '20110706_225518_s4c1B.fts']	2011/07/06 22:54:00	2011/07/06 22:54:32	['/gehme/data/stereo/secchi/L0/a/seq/cor1/20110706/', '20110706_235500_s4c1A.fts', '20110706_235509_s4c1A.fts', '20110706_235518_s4c1A.fts']	['/gehme/data/stereo/secchi/L0/b/seq/cor1/20110706/', '20110706_235500_s4c1B.fts', '20110706_235509_s4c1B.fts', '20110706_235518_s4c1B.fts']
793	2011-07-07	14:54:00	2011-07-07	14:54:32	90	270	*	*	*	*	*	*	*	2011-07-07 14:54:00	2011-07-07 14:54:32	2011-07-07 13:54:00	2011-07-07 13:54:32	2011-07-07 12:54:00	2011-07-07 12:54:32	['/gehme/data/stereo/secchi/L0/a/seq/cor1/20110707/', '20110707_115500_s4c1A.fts', '20110707_115509_s4c1A.fts', '20110707_115518_s4c1A.fts']	['/gehme/data/stereo/secchi/L0/b/seq/cor1/20110707/', '20110707_115500_s4c1B.fts', '20110707_115509_s4c1B.fts', '20110707_115518_s4c1B.fts']	2011/07/07 11:54:00	2011/07/07 11:54:32	['/gehme/data/stereo/secchi/L0/a/seq/cor1/20110707/', '20110707_125500_s4c1A.fts', '20110707_125509_s4c1A.fts', '20110707_125518_s4c1A.fts']	['/gehme/data/stereo/secchi/L0/b/seq/cor1/20110707/', '20110707_125500_s4c1B.fts', '20110707_125509_s4c1B.fts', '20110707_125518_s4c1B.fts']
794	2011-07-09	00:54:00	2011-07-09	00:54:33	90	270	*	*	*	*	*	*	*	2011-07-09 00:54:00	2011-07-09 00:54:33	2011-07-08 23:54:00	2011-07-08 23:54:33	2011-07-08 22:54:00	2011-07-08 22:54:33	['/gehme/data/stereo/secchi/L0/a/seq/cor1/20110708/', '20110708_215500_s4c1A.fts', '20110708_215512_s4c1A.fts', '20110708_215524_s4c1A.fts']	['/gehme/data/stereo/secchi/L0/b/seq/cor1/20110708/', '20110708_215500_s4c1B.fts', '20110708_215509_s4c1B.fts', '20110708_215518_s4c1B.fts']	2011/07/08 21:54:00	2011/07/08 21:54:33	['/gehme/data/stereo/secchi/L0/a/seq/cor1/20110708/', '20110708_225500_s4c1A.fts', '20110708_225512_s4c1A.fts', '20110708_225524_s4c1A.fts']	['/gehme/data/stereo/secchi/L0/b/seq/cor1/20110708/', '20110708_225500_s4c1B.fts', '20110708_225509_s4c1B.fts', '20110708_225518_s4c1B.fts']
795	2011-07-09	17:54:00	2011-07-09	17:54:33	315	45	*	*	*	*	*	*	*	2011-07-09 17:54:00	2011-07-09 17:54:33	2011-07-09 16:54:00	2011-07-09 16:54:33	2011-07-09 15:54:00	2011-07-09 15:54:33	['/gehme/data/stereo/secchi/L0/a/seq/cor1/20110709/', '20110709_145500_s4c1A.fts', '20110709_145512_s4c1A.fts', '20110709_145524_s4c1A.fts']	['/gehme/data/stereo/secchi/L0/b/seq/cor1/20110709/', '20110709_145500_s4c1B.fts', '20110709_145509_s4c1B.fts', '20110709_145518_s4c1B.fts']	2011/07/09 14:54:00	2011/07/09 14:54:33	['/gehme/data/stereo/secchi/L0/a/seq/cor1/20110709/', '20110709_155500_s4c1A.fts', '20110709_155512_s4c1A.fts', '20110709_155524_s4c1A.fts']	['/gehme/data/stereo/secchi/L0/b/seq/cor1/20110709/', '20110709_155500_s4c1B.fts', '20110709_155509_s4c1B.fts', '20110709_155518_s4c1B.fts']
796	2011-07-09	21:54:00	2011-07-09	21:54:33	315	45	*	*	*	*	*	*	*	2011-07-09 21:54:00	2011-07-09 21:54:33	2011-07-09 20:54:00	2011-07-09 20:54:33	2011-07-09 19:54:00	2011-07-09 19:54:33	['/gehme/data/stereo/secchi/L0/a/seq/cor1/20110709/', '20110709_185500_s4c1A.fts', '20110709_185512_s4c1A.fts', '20110709_185524_s4c1A.fts']	['/gehme/data/stereo/secchi/L0/b/seq/cor1/20110709/', '20110709_185500_s4c1B.fts', '20110709_185509_s4c1B.fts', '20110709_185518_s4c1B.fts']	2011/07/09 18:54:00	2011/07/09 18:54:33	['/gehme/data/stereo/secchi/L0/a/seq/cor1/20110709/', '20110709_195500_s4c1A.fts', '20110709_195512_s4c1A.fts', '20110709_195524_s4c1A.fts']	['/gehme/data/stereo/secchi/L0/b/seq/cor1/20110709/', '20110709_195500_s4c1B.fts', '20110709_195509_s4c1B.fts', '20110709_195518_s4c1B.fts']
797	2011-07-10	13:54:00	2011-07-10	13:54:33	0	0	*	*	*	*	*	*	*	2011-07-10 13:54:00	2011-07-10 13:54:33	2011-07-10 12:54:00	2011-07-10 12:54:33	2011-07-10 11:54:00	2011-07-10 11:54:33	['/gehme/data/stereo/secchi/L0/a/seq/cor1/20110710/', '20110710_105500_s4c1A.fts', '20110710_105512_s4c1A.fts', '20110710_105524_s4c1A.fts']	['/gehme/data/stereo/secchi/L0/b/seq/cor1/20110710/', '20110710_105500_s4c1B.fts', '20110710_105509_s4c1B.fts', '20110710_105518_s4c1B.fts']	2011/07/10 10:54:00	2011/07/10 10:54:33	['/gehme/data/stereo/secchi/L0/a/seq/cor1/20110710/', '20110710_115500_s4c1A.fts', '20110710_115512_s4c1A.fts', '20110710_115524_s4c1A.fts']	['/gehme/data/stereo/secchi/L0/b/seq/cor1/20110710/', '20110710_115500_s4c1B.fts', '20110710_115509_s4c1B.fts', '20110710_115518_s4c1B.fts']
798	2011-07-11	11:54:00	2011-07-11	11:54:33	90	270	*	*	*	*	*	*	*	2011-07-11 11:54:00	2011-07-11 11:54:33	2011-07-11 10:54:00	2011-07-11 10:54:33	2011-07-11 09:54:00	2011-07-11 09:54:33	['/gehme/data/stereo/secchi/L0/a/seq/cor1/20110711/', '20110711_085500_s4c1A.fts', '20110711_085512_s4c1A.fts', '20110711_085524_s4c1A.fts']	['/gehme/data/stereo/secchi/L0/b/seq/cor1/20110711/', '20110711_085500_s4c1B.fts', '20110711_085509_s4c1B.fts', '20110711_085518_s4c1B.fts']	2011/07/11 08:54:00	2011/07/11 08:54:33	['/gehme/data/stereo/secchi/L0/a/seq/cor1/20110711/', '20110711_095500_s4c1A.fts', '20110711_095512_s4c1A.fts', '20110711_095524_s4c1A.fts']	['/gehme/data/stereo/secchi/L0/b/seq/cor1/20110711/', '20110711_095500_s4c1B.fts', '20110711_095509_s4c1B.fts', '20110711_095518_s4c1B.fts']
799	2011-07-12	11:54:00	2011-07-12	12:54:34	90	270	*	*	*	*	*	*	*	2011-07-12 11:54:00	2011-07-12 12:54:34	2011-07-12 10:54:00	2011-07-12 11:54:34	2011-07-12 09:54:00	2011-07-12 10:54:34	['/gehme/data/stereo/secchi/L0/a/seq/cor1/20110712/', '20110712_085500_s4c1A.fts', '20110712_085512_s4c1A.fts', '20110712_085524_s4c1A.fts']	['/gehme/data/stereo/secchi/L0/b/seq/cor1/20110712/', '20110712_095500_s4c1B.fts', '20110712_095509_s4c1B.fts', '20110712_095518_s4c1B.fts']	2011/07/12 08:54:00	2011/07/12 09:54:34	['/gehme/data/stereo/secchi/L0/a/seq/cor1/20110712/', '20110712_095500_s4c1A.fts', '20110712_095512_s4c1A.fts', '20110712_095524_s4c1A.fts']	['/gehme/data/stereo/secchi/L0/b/seq/cor1/20110712/', '20110712_105500_s4c1B.fts', '20110712_105509_s4c1B.fts', '20110712_105518_s4c1B.fts']
